MeterId,MeterAddress,SlotPosition,Phase,PhaseSeq,Protocol,CJQ_Address,DvcId
1,000000002234,单通,A,0,2,0,1
2,000000003234,三通,ABC,0,2,0,1
3,001900523640,单相表,C,0,2,0,1
4,001900523454,单相表,C,0,2,0,1
5,001900529847,单相表,C,0,2,0,1
6,001900529845,单相表,C,0,2,0,1
7,001900529740,单相表,C,0,2,0,1
8,001900529853,单相表,C,0,2,0,1
9,001900530834,单相表,C,0,2,0,1
10,001900529742,单相表,C,0,2,0,1
11,001900523631,单相表,C,0,2,0,1
12,001900523449,单相表,C,0,2,0,1
13,001900529904,单相表,C,0,2,0,1
14,001900523516,单相表,C,0,2,0,1
15,001900529851,单相表,C,0,2,0,1
16,001900523457,单相表,C,0,2,0,1
17,001900530555,单相表,C,0,2,0,1
18,001900529745,单相表,C,0,2,0,1
19,001900523638,单相表,C,0,2,0,1
20,001900530557,单相表,C,0,2,0,1
21,001900529744,单相表,C,0,2,0,1
22,001900529748,单相表,C,0,2,0,1
23,001900523724,单相表,C,0,2,0,1
24,001900523713,单相表,C,0,2,0,1
25,001900529903,单相表,C,0,2,0,1
26,001900529848,单相表,C,0,2,0,1
27,001900523722,单相表,C,0,2,0,1
28,001900529898,单相表,C,0,2,0,1
29,001900530556,单相表,C,0,2,0,1
30,001900530507,单相表,C,0,2,0,1
31,001900523519,单相表,C,0,2,0,1
32,001900529854,单相表,C,0,2,0,1
33,001900529739,单相表,C,0,2,0,1
34,001900529855,单相表,C,0,2,0,1
35,001900523721,单相表,C,0,2,0,1
36,001900529746,单相表,C,0,2,0,1
37,001900530833,单相表,C,0,2,0,1
38,001900523455,单相表,C,0,2,0,1
39,001900530562,单相表,C,0,2,0,1
40,001900529902,单相表,C,0,2,0,1
41,001900529893,单相表,C,0,2,0,1
42,001900529747,单相表,C,0,2,0,1
43,001900529856,单相表,C,0,2,0,1
44,001900529846,单相表,C,0,2,0,1
45,001900529849,单相表,C,0,2,0,1
46,001900530558,单相表,C,0,2,0,1
47,001900529850,单相表,C,0,2,0,1
48,001900530561,单相表,C,0,2,0,1
49,001900529852,单相表,C,0,2,0,1
50,001900523639,单相表,C,0,2,0,1
51,001900530835,单相表,C,0,2,0,1
52,001900529737,单相表,C,0,2,0,1
53,001900523632,单相表,C,0,2,0,1
54,001900529897,单相表,C,0,2,0,1
55,001900523629,单相表,C,0,2,0,1
56,001900530554,单相表,C,0,2,0,1
57,001900523780,单相表,C,0,2,0,1
58,001900529738,单相表,C,0,2,0,1
59,001900530511,单相表,C,0,2,0,1
60,001900523717,单相表,C,0,2,0,1
61,001900530831,单相表,C,0,2,0,1
62,001900523637,单相表,C,0,2,0,1
63,001900529743,单相表,C,0,2,0,1
64,001900530505,单相表,C,0,2,0,1
65,001900529894,单相表,C,0,2,0,1
66,003702669131,单相表,C,0,3,0,1
67,003718980853,单相表,C,0,3,0,1
68,003702669074,单相表,C,0,3,0,1
69,003718980849,单相表,C,0,3,0,1
70,003702669963,单相表,C,0,3,0,1
71,003718980909,单相表,C,0,3,0,1
72,003702670107,单相表,C,0,3,0,1
73,003702672315,单相表,C,0,3,0,1
74,003702672466,单相表,C,0,3,0,1
75,003702668900,单相表,C,0,3,0,1
76,003702670225,单相表,C,0,3,0,1
77,003718980913,单相表,C,0,3,0,1
78,003702668938,单相表,C,0,3,0,1
79,003719005862,单相表,C,0,3,0,1
80,003702669334,单相表,C,0,3,0,1
81,003702669033,单相表,C,0,3,0,1
82,003702669335,单相表,C,0,3,0,1
83,003719005854,单相表,C,0,3,0,1
84,003702669351,单相表,C,0,3,0,1
85,003702668931,单相表,C,0,3,0,1
86,003718982814,单相表,C,0,3,0,1
87,003702669051,单相表,C,0,3,0,1
88,003702668312,单相表,C,0,3,0,1
89,003702670213,单相表,C,0,3,0,1
90,003702668956,单相表,C,0,3,0,1
91,003718980911,单相表,C,0,3,0,1
92,003718980822,单相表,C,0,3,0,1
93,003702669278,单相表,C,0,3,0,1
94,003702668785,单相表,C,0,3,0,1
95,003702672472,单相表,C,0,3,0,1
96,003702668919,单相表,C,0,3,0,1
97,003718980843,单相表,C,0,3,0,1
98,003702669234,单相表,C,0,3,0,1
99,003718980910,单相表,C,0,3,0,1
100,003719005861,单相表,C,0,3,0,1
101,003702668331,单相表,C,0,3,0,1
102,003718980908,单相表,C,0,3,0,1
103,003702669188,单相表,C,0,3,0,1
104,003702668711,单相表,C,0,3,0,1
105,003702669119,单相表,C,0,3,0,1
106,003702669346,单相表,C,0,3,0,1
107,003702669519,单相表,C,0,3,0,1
108,003718980846,单相表,C,0,3,0,1
109,003702669107,单相表,C,0,3,0,1
110,003718980914,单相表,C,0,3,0,1
111,003718980847,单相表,C,0,3,0,1
112,003718980851,单相表,C,0,3,0,1
113,003718980852,单相表,C,0,3,0,1
114,003718976810,单相表,C,0,3,0,1
115,003702669274,单相表,C,0,3,0,1
116,003718980905,单相表,C,0,3,0,1
117,003702672477,单相表,C,0,3,0,1
118,003702670236,单相表,C,0,3,0,1
119,003718980903,单相表,C,0,3,0,1
120,003718980844,单相表,C,0,3,0,1
121,003718980854,单相表,C,0,3,0,1
122,003702669120,单相表,C,0,3,0,1
123,003702670081,单相表,C,0,3,0,1
124,003702668198,单相表,C,0,3,0,1
125,003702670061,单相表,C,0,3,0,1
126,003702670122,单相表,C,0,3,0,1
127,003702669974,单相表,C,0,3,0,1
128,003702669032,单相表,B,0,3,0,1
129,003702669230,单相表,B,0,3,0,1
130,003702672336,单相表,B,0,3,0,1
131,003702672718,单相表,B,0,3,0,1
132,003702668348,单相表,B,0,3,0,1
133,003702669332,单相表,B,0,3,0,1
134,003702669215,单相表,B,0,3,0,1
135,003702669262,单相表,B,0,3,0,1
136,003702669936,单相表,B,0,3,0,1
137,003702669252,单相表,B,0,3,0,1
138,003702668799,单相表,B,0,3,0,1
139,003702669973,单相表,B,0,3,0,1
140,003702668798,单相表,B,0,3,0,1
141,003702669957,单相表,B,0,3,0,1
142,003702668307,单相表,B,0,3,0,1
143,003702668945,单相表,B,0,3,0,1
